## Fri Feb 17 08:44:46 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
blr0012	224911.27348259	1.97e-111	320.0	COG1961@1|root,COG1961@2|Bacteria,1MVIE@1224|Proteobacteria,2TVFI@28211|Alphaproteobacteria,3JU9X@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	DNA invertase Pin	-	-	-	-	-	-	-	-	-	-	-	-	HTH_17,Recombinase,Resolvase,Zn_ribbon_recom
blr0013	1037409.BJ6T_00140	1.56e-120	344.0	COG1961@1|root,COG1961@2|Bacteria,1NRU8@1224|Proteobacteria,2UQNH@28211|Alphaproteobacteria,3K2ZE@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	COG1961 Site-specific recombinases, DNA invertase Pin homologs	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0014	398525.KB900701_gene708	2.71e-32	124.0	COG4584@1|root,COG4584@2|Bacteria,1MWIV@1224|Proteobacteria,2TQKF@28211|Alphaproteobacteria,3JU80@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	COG4584 Transposase and inactivated derivatives	-	-	-	-	-	-	-	-	-	-	-	-	HTH_23,rve
bll0015	1037409.BJ6T_00170	2.79e-93	271.0	COG4584@1|root,COG4584@2|Bacteria,1NT4V@1224|Proteobacteria,2UQKU@28211|Alphaproteobacteria,3K33F@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	PFAM Integrase catalytic	-	-	-	-	-	-	-	-	-	-	-	-	-
bsl0016	1037409.BJ6T_00180	2.04e-56	176.0	COG4584@1|root,COG4584@2|Bacteria,1NXC6@1224|Proteobacteria,2UTQX@28211|Alphaproteobacteria,3K4GK@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	PFAM Integrase catalytic	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0017	224911.27348264	2.04e-79	236.0	COG2963@1|root,COG2963@2|Bacteria,1N06K@1224|Proteobacteria,2U9BK@28211|Alphaproteobacteria,3K43V@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Transposase	-	-	-	-	-	-	-	-	-	-	-	-	HTH_Tnp_1
blr0018	1037409.BJ6T_00200	2.03e-185	516.0	COG2801@1|root,COG2801@2|Bacteria,1MVC8@1224|Proteobacteria,2TRX0@28211|Alphaproteobacteria,3K2HP@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Integrase core domain	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_21,rve
blr0019	1037409.BJ6T_00210	2.21e-76	227.0	2A7NI@1|root,30WKK@2|Bacteria,1NVH9@1224|Proteobacteria,2URW7@28211|Alphaproteobacteria,3K3SD@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0020	1037409.BJ6T_00220	1.46e-303	827.0	COG2124@1|root,COG2124@2|Bacteria,1MWRZ@1224|Proteobacteria,2TVEQ@28211|Alphaproteobacteria,3JW54@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	Q	Cytochrome P450	-	-	-	-	-	-	-	-	-	-	-	-	p450
bll0021	224911.27348268	0.0	1341.0	COG2010@1|root,COG2010@2|Bacteria,1MVYK@1224|Proteobacteria,2U18V@28211|Alphaproteobacteria,3JRFQ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Cytochrome c	-	-	-	-	-	-	-	-	-	-	-	-	-
bsr0022	1037409.BJ6T_00240	1.32e-62	191.0	2A7J3@1|root,30WGW@2|Bacteria,1RE1G@1224|Proteobacteria,2U8F8@28211|Alphaproteobacteria,3JZ25@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0023	224911.27348270	3.5e-272	744.0	COG3335@1|root,COG3415@1|root,COG3335@2|Bacteria,COG3415@2|Bacteria,1MW7X@1224|Proteobacteria,2TTH8@28211|Alphaproteobacteria,3JWD8@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	DDE superfamily endonuclease	-	-	-	ko:K07494	-	-	-	-	ko00000	-	-	-	DDE_3,HTH_29,HTH_32
blr0024	224911.27348271	1.92e-80	239.0	2C7JI@1|root,2ZPM5@2|Bacteria,1NHVR@1224|Proteobacteria,2UN3Z@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0025	224911.27348272	0.0	1199.0	COG4716@1|root,COG4716@2|Bacteria,1MVTV@1224|Proteobacteria,2TR2G@28211|Alphaproteobacteria,3JSEG@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	MCRA family	-	-	4.2.1.53	ko:K10254	-	-	-	-	ko00000,ko01000	-	-	-	MCRA
bll0026	1037409.BJ6T_00290	3.13e-173	484.0	COG1028@1|root,COG1028@2|Bacteria,1MVQW@1224|Proteobacteria,2U6Q8@28211|Alphaproteobacteria,3JZ75@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	1.1.1.53	ko:K00038	ko00140,ko01100,map00140,map01100	-	R04831,R04834,R04844,R04847	RC00139,RC01219,RC01220	ko00000,ko00001,ko01000	-	-	-	adh_short_C2
bsr0027	224911.27348274	9.87e-58	178.0	2C6PD@1|root,300FU@2|Bacteria,1NXFS@1224|Proteobacteria,2UTXU@28211|Alphaproteobacteria,3K4A3@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0028	224911.27348275	2.16e-203	562.0	COG4689@1|root,COG4689@2|Bacteria,1NRI5@1224|Proteobacteria,2UQAD@28211|Alphaproteobacteria,3K3B0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	Q	Acetoacetate decarboxylase (ADC)	-	-	-	-	-	-	-	-	-	-	-	-	ADC
bsr0029	1037409.BJ6T_00320	3.39e-60	185.0	2AHW1@1|root,3188V@2|Bacteria,1NN8P@1224|Proteobacteria,2UJKW@28211|Alphaproteobacteria,3K1RU@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0030	1037409.BJ6T_00330	0.0	1055.0	COG1961@1|root,COG1961@2|Bacteria,1R5NF@1224|Proteobacteria,2TT1I@28211|Alphaproteobacteria,3JVY1@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Resolvase, N terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Recombinase,Resolvase
bsl0032	1038862.KB893839_gene5752	4.64e-36	122.0	2AM5F@1|root,31BZT@2|Bacteria,1P07D@1224|Proteobacteria,2UUIY@28211|Alphaproteobacteria,3K4W3@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bsr0033	1037409.BJ6T_00360	2.22e-50	159.0	COG0726@1|root,COG0726@2|Bacteria,1N1ZS@1224|Proteobacteria,2UEZD@28211|Alphaproteobacteria,3K0I4@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	G	Polysaccharide deacetylase	-	-	-	-	-	-	-	-	-	-	-	-	Polysacc_deac_1
blr0034	1037409.BJ6T_00370	2.3e-91	268.0	COG2963@1|root,COG2963@2|Bacteria,1N7V0@1224|Proteobacteria,2UFGY@28211|Alphaproteobacteria,3K695@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Transposase	-	-	-	ko:K07483	-	-	-	-	ko00000	-	-	-	HTH_Tnp_1
blr0035	1037409.BJ6T_00380	1.75e-84	248.0	COG3436@1|root,COG3436@2|Bacteria,1RHDW@1224|Proteobacteria,2U7TH@28211|Alphaproteobacteria,3JZ4X@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	IS66 Orf2	-	-	-	ko:K07484	-	-	-	-	ko00000	-	-	-	TnpB_IS66
bsr0036	1037409.BJ6T_00390	2.56e-32	113.0	COG0834@1|root,COG0834@2|Bacteria,1P157@1224|Proteobacteria,2UVH1@28211|Alphaproteobacteria,3K4S4@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	ET	Bacterial extracellular solute-binding proteins, family 3	-	-	-	ko:K10001	ko02010,ko02020,map02010,map02020	M00230	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.3.19,3.A.1.3.4	-	-	SBP_bac_3
blr0037	1037409.BJ6T_00400	1.9e-79	236.0	COG0765@1|root,COG0765@2|Bacteria,1NVB3@1224|Proteobacteria,2UR9M@28211|Alphaproteobacteria,3K3TK@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	amino acid transport	-	-	-	ko:K10003	ko02010,ko02020,map02010,map02020	M00230	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.3.19,3.A.1.3.4	-	-	-
bsr0038	1037409.BJ6T_00410	4.7e-57	177.0	COG1396@1|root,COG1396@2|Bacteria,1NGM7@1224|Proteobacteria,2UD0X@28211|Alphaproteobacteria,3K0T9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Helix-turn-helix domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_19,HTH_3
bsr0039	224911.27348286	4.41e-51	161.0	COG3911@1|root,COG3911@2|Bacteria	2|Bacteria	K	COG3911 Predicted ATPase	-	-	-	-	-	-	-	-	-	-	-	-	AAA_28
bll0040	1037409.BJ6T_00420	2.16e-78	233.0	COG3791@1|root,COG3791@2|Bacteria,1RHWZ@1224|Proteobacteria,2UBRG@28211|Alphaproteobacteria,3K14H@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Glutathione-dependent formaldehyde-activating	-	-	-	-	-	-	-	-	-	-	-	-	GFA
bll0042	224911.27348289	2.45e-93	273.0	COG3905@1|root,COG3905@2|Bacteria,1MXJX@1224|Proteobacteria,2U7AR@28211|Alphaproteobacteria,3JY1M@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	copG family	-	-	-	-	-	-	-	-	-	-	-	-	RHH_1
bll0043	224911.27348290	0.0	1335.0	COG3505@1|root,COG3505@2|Bacteria,1MV1G@1224|Proteobacteria,2TR6N@28211|Alphaproteobacteria,3JRBG@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	U	PFAM TRAG family protein	-	-	-	ko:K03205	ko03070,map03070	M00333	-	-	ko00000,ko00001,ko00002,ko02044	3.A.7	-	-	T4SS-DNA_transf
bll0044	224911.27348291	0.0	1214.0	COG3843@1|root,COG3843@2|Bacteria,1MU0S@1224|Proteobacteria,2TSP8@28211|Alphaproteobacteria,3JSRJ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	U	Protein of unknown function (DUF3363)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3363
bll0045	224911.27348292	1.37e-217	600.0	COG0741@1|root,COG0741@2|Bacteria,1MZ4X@1224|Proteobacteria,2TU56@28211|Alphaproteobacteria,3JUGR@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	transglycosylase	-	-	-	-	-	-	-	-	-	-	-	-	SLT
bll0046	1037409.BJ6T_00470	3.12e-77	229.0	COG5489@1|root,COG5489@2|Bacteria,1RJH0@1224|Proteobacteria,2UAK6@28211|Alphaproteobacteria,3JZR2@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF736)	-	-	-	-	-	-	-	-	-	-	-	-	DUF736
bll0047	1037409.BJ6T_00480	2.31e-133	377.0	COG4959@1|root,COG4959@2|Bacteria,1MV1E@1224|Proteobacteria,2TV10@28211|Alphaproteobacteria,3JW20@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	OU	Signal peptidase, peptidase S26	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S26
bll0048	1037409.BJ6T_00490	1.35e-123	352.0	2BYDP@1|root,2Z7UG@2|Bacteria,1P8PK@1224|Proteobacteria,2U09C@28211|Alphaproteobacteria,3JXXD@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF2840)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2840
bsl0049	1037409.BJ6T_00500	2.7e-56	175.0	2E43J@1|root,32YZW@2|Bacteria,1N99M@1224|Proteobacteria,2UH92@28211|Alphaproteobacteria,3JZWY@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0050	1037409.BJ6T_00510	1.9e-145	410.0	COG1192@1|root,COG1192@2|Bacteria,1MWRE@1224|Proteobacteria,2TSJZ@28211|Alphaproteobacteria,3JTAG@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	D	VirC1 protein	-	-	-	ko:K03496	-	-	-	-	ko00000,ko03036,ko04812	-	-	-	AAA_31
bll0051	224911.27348298	8.31e-313	851.0	COG5534@1|root,COG5534@2|Bacteria,1MXQ0@1224|Proteobacteria,2TRBV@28211|Alphaproteobacteria,3JSIT@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	PFAM Replication initiator protein A	-	-	-	-	-	-	-	-	-	-	-	-	RPA
bll0052	224911.27348299	9.56e-89	259.0	COG3311@1|root,COG3311@2|Bacteria,1RGX4@1224|Proteobacteria,2UBWS@28211|Alphaproteobacteria,3JZU2@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Helix-turn-helix domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_17
bll0053	224911.27348300	1.97e-161	452.0	COG5419@1|root,COG5419@2|Bacteria,1QJFQ@1224|Proteobacteria,2U4QP@28211|Alphaproteobacteria,3JRCH@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Uncharacterized conserved protein (DUF2285)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2285
bsl0054	1037409.BJ6T_00560	5.45e-60	184.0	2E4AR@1|root,32Z6E@2|Bacteria,1MZRK@1224|Proteobacteria,2UCEW@28211|Alphaproteobacteria,3K0GB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Uncharacterized conserved protein (DUF2285)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2285
bsr0055	224911.27348302	7.74e-47	150.0	COG1396@1|root,COG1396@2|Bacteria,1N02P@1224|Proteobacteria,2UGHQ@28211|Alphaproteobacteria,3K127@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Cro/C1-type HTH DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,HTH_31
blr0056	1037409.BJ6T_00580	2.96e-96	280.0	2AIGA@1|root,318XY@2|Bacteria,1NQDH@1224|Proteobacteria,2UNHC@28211|Alphaproteobacteria,3K3BP@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0057	224911.27348304	2.29e-81	241.0	COG5489@1|root,COG5489@2|Bacteria,1RDDE@1224|Proteobacteria,2U6ZR@28211|Alphaproteobacteria,3JZQG@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF736)	-	-	-	-	-	-	-	-	-	-	-	-	DUF736
blr0058	1037409.BJ6T_00610	2.75e-72	217.0	2CC8R@1|root,2ZY93@2|Bacteria,1NVFH@1224|Proteobacteria,2URUS@28211|Alphaproteobacteria,3K3WQ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bsl0059	224911.27348306	1.83e-49	157.0	COG1278@1|root,COG1278@2|Bacteria,1N6Q5@1224|Proteobacteria,2UF6W@28211|Alphaproteobacteria,3K155@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Cold shock protein domain	-	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
blr0060	1037409.BJ6T_00630	6.67e-191	529.0	COG0500@1|root,COG2226@2|Bacteria,1MV7N@1224|Proteobacteria,2TVGZ@28211|Alphaproteobacteria,3JWFX@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	Q	Protein of unknown function (DUF1698)	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
bll0061	224911.27348308	1.1e-114	329.0	2DPU3@1|root,32UMR@2|Bacteria,1RCN0@1224|Proteobacteria,2U7GU@28211|Alphaproteobacteria,3JY1J@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0062	1037409.BJ6T_00650	2.23e-158	444.0	2EHC2@1|root,33B3X@2|Bacteria,1RGS7@1224|Proteobacteria,2U7PY@28211|Alphaproteobacteria,3K2SN@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0063	1037409.BJ6T_00660	2.91e-227	625.0	2C0ZE@1|root,2Z7S6@2|Bacteria,1MW5M@1224|Proteobacteria,2TQVZ@28211|Alphaproteobacteria,3JSD7@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF2493)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2493
bll0064	224911.27348311	4.47e-255	699.0	COG4643@1|root,COG4643@2|Bacteria,1MW9E@1224|Proteobacteria,2TS3B@28211|Alphaproteobacteria,3JT6Y@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Toprim domain	-	-	-	-	-	-	-	-	-	-	-	-	Toprim_3
bll0065	224911.27348312	0.0	1371.0	COG1475@1|root,COG1475@2|Bacteria,1MVF9@1224|Proteobacteria,2TR0P@28211|Alphaproteobacteria,3JSCN@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Evidence Function proposed based on presence of conserved amino acid motif, structural feature or limited homology	-	-	-	ko:K03497	-	-	-	-	ko00000,ko03000,ko03036,ko04812	-	-	-	ParBc
bll0066	224911.27348313	9.16e-304	827.0	2CDQ7@1|root,2Z7KV@2|Bacteria,1MY2D@1224|Proteobacteria,2TR92@28211|Alphaproteobacteria,3JX05@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bsr0067	1037409.BJ6T_00710	2.24e-45	146.0	2E8XG@1|root,3337G@2|Bacteria,1N7HF@1224|Proteobacteria,2UFC4@28211|Alphaproteobacteria,3K0XZ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HTH_17
bll0068	224911.27348315	0.0	936.0	COG2925@1|root,COG2925@2|Bacteria,1MV0U@1224|Proteobacteria,2U302@28211|Alphaproteobacteria,3JVI9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Exonuclease C-terminal	sbcB	-	3.1.11.1	ko:K01141	ko03430,map03430	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	Exonuc_X-T_C,RNase_T
bll0069	224911.27348316	2.61e-117	336.0	COG2856@1|root,COG2856@2|Bacteria,1R6Q4@1224|Proteobacteria,2U4CH@28211|Alphaproteobacteria,3JYH0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	IrrE N-terminal-like domain	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M78
bll0070	1037409.BJ6T_00740	1.27e-81	242.0	COG1396@1|root,COG1396@2|Bacteria,1QXE3@1224|Proteobacteria,2TX8G@28211|Alphaproteobacteria,3JYAY@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Helix-turn-helix	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
bsr0071	1037409.BJ6T_00750	1.13e-48	154.0	2E3GE@1|root,32YF6@2|Bacteria,1N7MX@1224|Proteobacteria,2UFWC@28211|Alphaproteobacteria,3K01Y@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Uncharacterized protein conserved in bacteria (DUF2188)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2188
blr0072	1037409.BJ6T_00760	2.85e-304	829.0	28M0F@1|root,2ZAFG@2|Bacteria,1NKJG@1224|Proteobacteria,2U0H5@28211|Alphaproteobacteria,3JVFX@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0073	1038862.KB893839_gene5775	8.47e-110	315.0	2DPDF@1|root,331KJ@2|Bacteria,1N6FZ@1224|Proteobacteria,2U6SF@28211|Alphaproteobacteria,3K13W@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0074	224911.27348321	1.89e-276	755.0	COG1403@1|root,COG1403@2|Bacteria,1PAQC@1224|Proteobacteria,2U34W@28211|Alphaproteobacteria,3JX6H@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	V	HNH endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0075	1037409.BJ6T_00790	4.79e-123	351.0	COG1715@1|root,COG1715@2|Bacteria,1NS7P@1224|Proteobacteria,2UPPM@28211|Alphaproteobacteria,3K3QR@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	V	Restriction endonuclease	-	-	-	ko:K07448	-	-	-	-	ko00000,ko02048	-	-	-	Mrr_cat
bll0076	224911.27348323	0.0	1163.0	2CC6T@1|root,2ZA8Y@2|Bacteria,1RG72@1224|Proteobacteria,2UP8H@28211|Alphaproteobacteria,3K2YI@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0077	224911.27348324	0.0	932.0	COG0775@1|root,COG5635@1|root,COG0775@2|Bacteria,COG5635@2|Bacteria,1QVM0@1224|Proteobacteria,2U2WJ@28211|Alphaproteobacteria,3K2WN@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively	-	-	-	-	-	-	-	-	-	-	-	-	-
bsr0078	224911.27348325	1.02e-31	110.0	COG2003@1|root,COG2003@2|Bacteria,1N88N@1224|Proteobacteria,2UGMU@28211|Alphaproteobacteria,3K14K@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	RadC-like JAB domain	-	-	-	ko:K03630	-	-	-	-	ko00000	-	-	-	RadC
