,accession,start,end,strand,gene_name,gene_name_2,gene_product,COG,uniprot,operon,regulator
bll0063,BA000040.2,53006,53935,-,bll0063,AAV28_RS38820,DUF2493 domain-containing protein,Function unknown,Q89Y92,Op5624,
bll0064,BA000040.2,54262,55320,-,bll0064,AAV28_RS38825,toprim domain-containing protein,Function unknown,Q89Y91,Op5625,
bll0065,BA000040.2,55377,57515,-,bll0065,AAV28_RS38830,ParB/RepB/Spo0J family partition protein,Transcription,,Op5626,
bll0066,BA000040.2,57643,58884,-,bll0066,AAV28_RS38835,hypothetical protein,No COG annotation,,Op5627,
bll0068,BA000040.2,60225,61631,-,bll0068,AAV28_RS38845,exodeoxyribonuclease I,"Replication, recombination and repair",Q89Y87,Op5630,
bll0069,BA000040.2,61639,62160,-,bll0069,AAV28_RS38850,ImmA/IrrE family metallo-endopeptidase,Amino acid transport and metabolism,Q89Y86,Op5630,
bll0070,BA000040.2,62157,62552,-,bll0070,AAV28_RS38855,helix-turn-helix domain-containing protein,Transcription,Q89Y85,Op5630,
bll0075,BA000040.2,66173,66727,-,bll0075,AAV28_RS38875,restriction endonuclease,Defense mechanisms,Q89Y80,Op5633,
bll0076,BA000040.2,66843,68654,-,bll0076,,,No COG annotation,,-,
bll0079,BA000040.2,70897,71925,-,bll0079,AAV28_RS38890,hypothetical protein,No COG annotation,Q89Y76,Op5637,
bll0081,BA000040.2,74948,75823,-,bll0081,AAV28_RS38900,hypothetical protein,Function unknown,,Op5639,
bll0082,BA000040.2,75915,76235,-,bll0082,AAV28_RS38905,hypothetical protein,No COG annotation,Q89Y73,Op5640,
bll0083,BA000040.2,76401,76964,-,bll0083,AAV28_RS38910,hypothetical protein,No COG annotation,,Op5641,
bll0085,BA000040.2,78511,79803,-,bll0085,AAV28_RS38920,RNA polymerase sigma factor,Transcription,,Op5643,
bll0086,BA000040.2,79931,80338,-,bll0086,AAV28_RS38925,YciI family protein,Function unknown,Q89Y69,Op5644,
bll0087,BA000040.2,80457,81149,-,bll0087,AAV28_RS38930,protease inhibitor Inh/omp19 family protein,Function unknown,Q89Y68,Op5645,
bll0088,BA000040.2,81149,82138,-,bll0088,AAV28_RS38935,2-hydroxyacid dehydrogenase,Energy production and conversion,Q89Y67,Op5645,
bll0089,BA000040.2,82138,82956,-,bll0089,AAV28_RS38940,ABC transporter permease,Inorganic ion transport and metabolism,Q89Y66,Op5645,
bll0090,BA000040.2,82953,83768,-,bll0090,AAV28_RS38945,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q89Y65,Op5645,
bll0091,BA000040.2,83779,84801,-,bll0091,AAV28_RS38950,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Q89Y64,Op5645,
bll0096,BA000040.2,89896,91971,-,bll0096,AAV28_RS38975,methyl-accepting chemotaxis protein,Cell motility,Q89Y59,Op5650,
bll0099,BA000040.2,94103,95728,-,glt,AAV28_RS38990,FMN-binding glutamate synthase family protein,Amino acid transport and metabolism,Q89Y56,Op5653,
bll0100,BA000040.2,96219,97073,-,bll0100,AAV28_RS38995,ferredoxin--NADP reductase,Energy production and conversion,,Op5654,
bll0102,BA000040.2,98503,99429,-,gltI,AAV28_RS39005,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,Q89Y53,Op5656,
bll0104,BA000040.2,99439,100737,-,gltP,AAV28_RS39010,dicarboxylate/amino acid:cation symporter,Energy production and conversion,Q89Y52,Op5656,
bll0108,BA000040.2,106542,107078,-,bll0108,AAV28_RS39040,MarR family transcriptional regulator,Transcription,,Op5661,
bll0109,BA000040.2,107044,107676,-,maiA,maiA,maleylacetoacetate isomerase,"Post-translational modification, protein turnover, and chaperones",Q89Y46,Op5661,
bll0111,BA000040.2,109150,109998,-,bll0111,AAV28_RS39055,ABC transporter permease,Inorganic ion transport and metabolism,,Op5663,
bll0112,BA000040.2,109970,110743,-,bll0112,AAV28_RS39060,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q89Y43,Op5663,
bll0113,BA000040.2,110855,111859,-,bll0113,AAV28_RS39065,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Q89Y42,Op5664,
bll0114,BA000040.2,111903,113267,-,bll0114,AAV28_RS39070,FAD-dependent oxidoreductase,Energy production and conversion,Q89Y41,Op5665,
bll0116,BA000040.2,114617,115468,-,bll0116,AAV28_RS39085,enoyl-CoA hydratase-related protein,Lipid transport and metabolism,,Op5668,
bll0118,BA000040.2,116555,117280,-,bll0118,AAV28_RS39095,alpha/beta hydrolase,Function unknown,,Op5670,
bll0121,BA000040.2,118513,119397,-,bll0121,AAV28_RS39105,LysR family transcriptional regulator,Transcription,Q89Y34,Op5672,
bll0125,BA000040.2,121012,122151,-,bll0125,AAV28_RS39125,amidohydrolase/deacetylase family metallohydrolase,Function unknown,Q89Y30,Op5674,
bll0128,BA000040.2,123347,124303,-,bll0128,AAV28_RS39145,tripartite tricarboxylate transporter substrate-binding protein,Function unknown,Q89Y27,Op5677,
bll0129,BA000040.2,124350,124721,-,bll0129,AAV28_RS39150,cupin domain-containing protein,Function unknown,Q89Y26,Op5678,
bll0130,BA000040.2,124750,125478,-,bll0130,AAV28_RS39155,RraA family protein,Coenzyme transport and metabolism,,Op5678,
bll0131,BA000040.2,125415,126932,-,bll0131,AAV28_RS39160,AMP-binding protein,Lipid transport and metabolism,Q89Y24,Op5678,
bll0132,BA000040.2,127029,128066,-,bll0132,AAV28_RS39165,alpha/beta hydrolase,Function unknown,,Op5679,
bll0133,BA000040.2,128227,128973,-,bll0133,,,No COG annotation,,-,
bll0134,BA000040.2,129248,130249,-,bll0134,AAV28_RS39180,2-dehydropantoate 2-reductase,Coenzyme transport and metabolism,Q89Y21,Op5681,
bll0137,BA000040.2,131439,132224,-,bll0137,AAV28_RS39195,SDR family oxidoreductase,Lipid transport and metabolism,Q89Y18,Op5684,
bll0141,BA000040.2,135717,137831,-,bll0141,AAV28_RS39215,acetate--CoA ligase family protein,Energy production and conversion,Q89Y14,Op5686,
bll0142,BA000040.2,138071,138826,-,bll0142,AAV28_RS39220,hypothetical protein,Amino acid transport and metabolism,,Op5687,
bll0143,BA000040.2,138823,139614,-,bll0143,AAV28_RS39225,enoyl-CoA hydratase,Lipid transport and metabolism,Q89Y12,Op5687,
bll0144,BA000040.2,139769,140974,-,bll0144,AAV28_RS39230,ABC transporter substrate-binding protein,Amino acid transport and metabolism,Q89Y11,Op5688,
bll0148,BA000040.2,143826,145250,-,bll0148,AAV28_RS39245,MFS transporter,Amino acid transport and metabolism,,Op5690,
bll0156,BA000040.2,152504,153490,-,bll0156,AAV28_RS45430,CarD family transcriptional regulator,Transcription,,Op5693,
bll0157,BA000040.2,153637,153975,-,bll0157,AAV28_RS39290,ferredoxin family protein,Energy production and conversion,Q89XZ8,Op5694,
bll0159,BA000040.2,154387,157758,-,mgpS,AAV28_RS39300,helicase-related protein,"Replication, recombination and repair",Q89XZ6,Op5695,
bll0161,BA000040.2,158536,159414,-,bll0161,AAV28_RS39305,DUF3108 domain-containing protein,Cell wall/membrane/envelope biogenesis,,Op5696,
bll0163,BA000040.2,160425,161147,-,bll0163,AAV28_RS39315,hypothetical protein,Function unknown,Q89XZ2,Op5698,
bll0167,BA000040.2,163852,164532,-,bll0167,AAV28_RS39330,hypothetical protein,No COG annotation,,Op5702,
bll0174,BA000040.2,168820,169227,-,bll0174,AAV28_RS39365,hypothetical protein,No COG annotation,Q89XY1,Op5709,
bll0175,BA000040.2,169397,170509,-,bll0175,AAV28_RS39370,NADH:flavin oxidoreductase/NADH oxidase,Energy production and conversion,Q89XY0,Op5710,
bll0176,BA000040.2,170660,171361,-,bll0176,AAV28_RS39375,hypothetical protein,No COG annotation,Q89XX9,Op5711,
bll0177,BA000040.2,171405,172475,-,bll0177,AAV28_RS39380,esterase-like activity of phytase family protein,Function unknown,Q89XX8,Op5711,
bll0178,BA000040.2,172472,174379,-,cobT,cobT,cobaltochelatase subunit CobT,Coenzyme transport and metabolism,Q89XX7,Op5711,
bll0179,BA000040.2,174376,174786,-,bll0179,AAV28_RS39390,GNAT family N-acetyltransferase,Transcription,Q89XX6,Op5711,
bll0180,BA000040.2,174790,175923,-,cobS,cobS,cobaltochelatase subunit CobS,Function unknown,,Op5711,
bll0182,BA000040.2,176898,178115,-,cisZ,AAV28_RS39405,citrate synthase family protein,Energy production and conversion,Q89XX3,Op5713,
bll0184,BA000040.2,179535,180167,-,dnaJ,AAV28_RS39415,DnaJ domain-containing protein,"Post-translational modification, protein turnover, and chaperones",Q89XX1,Op5715,
bll0186,BA000040.2,180636,181940,-,bll0186,AAV28_RS39425,HlyC/CorC family transporter,Inorganic ion transport and metabolism,Q89XW9,Op5717,
bll0187,BA000040.2,182033,183181,-,aroB,aroB,3-dehydroquinate synthase,Amino acid transport and metabolism,Q89XW8,Op5718,
bll0188,BA000040.2,183178,183912,-,bll0188,AAV28_RS39435,shikimate kinase,Nucleotide transport and metabolism,Q89XW7,Op5718,
bll0193,BA000040.2,188443,189138,-,bll0193,AAV28_RS39460,ABC transporter ATP-binding protein,Amino acid transport and metabolism,Q89XW2,Op5722,
bll0194,BA000040.2,189131,189904,-,bll0194,AAV28_RS39465,ABC transporter ATP-binding protein,Function unknown,,Op5722,
bll0195,BA000040.2,189852,190937,-,bll0195,AAV28_RS39470,branched-chain amino acid ABC transporter permease,Amino acid transport and metabolism,Q89XW0,Op5722,
bll0196,BA000040.2,190944,192161,-,bll0196,AAV28_RS39475,substrate-binding protein,Amino acid transport and metabolism,Q89XV9,Op5722,
bll0197,BA000040.2,192166,193023,-,bll0197,AAV28_RS39480,branched-chain amino acid ABC transporter permease,Amino acid transport and metabolism,Q89XV8,Op5722,
bll0198,BA000040.2,193060,194574,-,bll0198,AAV28_RS39485,amidase,"Translation, ribosomal structure and biogenesis",Q89XV7,Op5722,
bll0199,BA000040.2,194739,195959,-,bll0199,AAV28_RS39490,substrate-binding domain-containing protein,Amino acid transport and metabolism,,Op5723,
bll0202,BA000040.2,196791,197453,-,bll0202,AAV28_RS39500,hypothetical protein,No COG annotation,,Op5725,
bll0203,BA000040.2,197458,198510,-,bll0203,AAV28_RS39505,RNA-directed DNA polymerase,"Replication, recombination and repair",Q89XV2,Op5726,
bll0204,BA000040.2,198903,201743,-,secA,secA,preprotein translocase subunit SecA,"Intracellular trafficking, secretion, and vesicular transport",Q89XV1,Op5727,
bll0208,BA000040.2,205000,205908,-,bll0208,AAV28_RS39530,methyltransferase domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op5730,
bll0213,BA000040.2,208602,209501,-,bll0213,AAV28_RS39555,EamA family transporter,Amino acid transport and metabolism,Q89XU3,Op5733,
bll0214,BA000040.2,209780,210541,-,ubiG,ubiG,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG,Coenzyme transport and metabolism,,Op5734,
bll0215,BA000040.2,210562,211029,-,bll0215,AAV28_RS39565,PH domain-containing protein,Function unknown,Q89XU1,Op5734,
bll0221,BA000040.2,218361,219101,-,bll0221,AAV28_RS39595,methyltransferase domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q89XT6,Op5739,
bll0224,BA000040.2,220539,221408,-,bll0224,AAV28_RS39610,EamA family transporter,Amino acid transport and metabolism,Q89XT3,Op5741,
bll0225,BA000040.2,221577,222302,-,phbB,phbB,acetoacetyl-CoA reductase,Lipid transport and metabolism,Q89XT2,Op5742,"FixK2,PhaR"
bll0226,BA000040.2,222553,223737,-,atoB,AAV28_RS39620,acetyl-CoA C-acetyltransferase,Lipid transport and metabolism,,Op5742,
bll0229,BA000040.2,225531,226586,-,ilvE,AAV28_RS39635,branched-chain amino acid aminotransferase,Amino acid transport and metabolism,,Op5745,
bll0233,BA000040.2,228334,228936,-,bll0233,AAV28_RS39655,carboxymuconolactone decarboxylase family protein,Function unknown,,Op5749,
bll0234,BA000040.2,229004,229591,-,bll0234,AAV28_RS39660,peroxidase-related enzyme,Function unknown,Q89XS3,Op5750,
bll0235,BA000040.2,229588,230049,-,bll0235,AAV28_RS39665,hypothetical protein,Function unknown,,Op5750,
bll0236,BA000040.2,230076,231239,-,bll0236,AAV28_RS39670,PLP-dependent cysteine synthase family protein,Amino acid transport and metabolism,,Op5750,
bll0240,BA000040.2,235094,235558,-,bll0240,AAV28_RS39690,Lrp/AsnC family transcriptional regulator,Transcription,Q89XR7,Op5752,
bll0242,BA000040.2,236940,238952,-,recQ,recQ,DNA helicase RecQ,"Replication, recombination and repair",,Op5754,
bll0243,BA000040.2,239041,239907,-,bll0243,AAV28_RS39705,polysaccharide deacetylase family protein,Carbohydrate transport and metabolism,,Op5755,
bll0244,BA000040.2,239885,240886,-,bll0244,AAV28_RS39710,homoserine O-succinyltransferase,Amino acid transport and metabolism,Q89XR3,Op5756,
bll0245,BA000040.2,240899,242200,-,cysD,AAV28_RS39715,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase,Amino acid transport and metabolism,Q89XR2,Op5756,
bll0246,BA000040.2,242527,244101,-,bam,AAV28_RS39720,amidase family protein,"Translation, ribosomal structure and biogenesis",P59385,Op5757,
bll0250,BA000040.2,246787,247821,-,mocA,AAV28_RS39735,aldo/keto reductase,Energy production and conversion,Q89XQ8,Op5759,
bll0251,BA000040.2,247832,249070,-,bll0251,AAV28_RS39740,MFS transporter,Amino acid transport and metabolism,,Op5759,
bll0254,BA000040.2,251201,251608,-,bll0254,AAV28_RS39755,RidA family protein,"Translation, ribosomal structure and biogenesis",Q89XQ4,Op5762,
bll0256,BA000040.2,252040,253005,-,bll0256,,,Transcription,,-,
bll0263,BA000040.2,261455,262393,-,bll0263,AAV28_RS39805,ACP S-malonyltransferase,Lipid transport and metabolism,Q89XP5,Op5770,MdcY
bll0264,BA000040.2,262403,263353,-,mdcF,AAV28_RS39810,AEC family transporter,Function unknown,,Op5770,MdcY
bll0265,BA000040.2,263350,264228,-,mdcB,mdcB,triphosphoribosyl-dephospho-CoA synthase MdcB,Coenzyme transport and metabolism,Q89XP3,Op5770,MdcY
bll0266,BA000040.2,264225,264905,-,mdcG,mdcG,malonate decarboxylase holo-[acyl-carrier-protein] synthase,Function unknown,Q89XP2,Op5770,MdcY
bll0267,BA000040.2,264880,265602,-,mdcE,mdcE,biotin-independent malonate decarboxylase subunit gamma,Lipid transport and metabolism,Q89XP1,Op5770,MdcY
bll0268,BA000040.2,265589,266452,-,mdcD,AAV28_RS39830,biotin-independent malonate decarboxylase subunit beta,Lipid transport and metabolism,,Op5770,MdcY
bll0269,BA000040.2,266524,266841,-,mdcC,mdcC,malonate decarboxylase acyl carrier protein,Energy production and conversion,Q89XN9,Op5770,MdcY
bll0270,BA000040.2,266852,268498,-,mdcA,mdcA,malonate decarboxylase subunit alpha,Lipid transport and metabolism,Q89XN8,Op5770,
bll0271,BA000040.2,268495,269361,-,bll0271,AAV28_RS39845,MBL fold metallo-hydrolase,Function unknown,Q89XN7,Op5770,
bll0272,BA000040.2,269459,270244,-,bll0272,AAV28_RS39850,alpha/beta hydrolase,Lipid transport and metabolism,Q89XN6,Op5771,
bll0275,BA000040.2,271050,271550,-,bll0275,,,No COG annotation,,-,
bll0280,BA000040.2,278293,280584,-,fdhF,AAV28_RS39885,FdhF/YdeP family oxidoreductase,Energy production and conversion,Q89XM8,Op5776,
bll0282,BA000040.2,282161,283147,-,cydB,cydB,cytochrome d ubiquinol oxidase subunit II,Energy production and conversion,Q89XM6,Op5778,
bll0283,BA000040.2,283150,284556,-,bll0283,AAV28_RS39900,cytochrome ubiquinol oxidase subunit I,Energy production and conversion,Q89XM5,Op5778,
bll0284,BA000040.2,284576,286114,-,mqo,mqo,malate dehydrogenase (quinone),Energy production and conversion,Q89XM4,Op5778,
bll0285,BA000040.2,286157,286561,-,bll0285,AAV28_RS39910,hypothetical protein,Function unknown,Q89XM3,Op5778,
bll0286,BA000040.2,286635,288299,-,fumC,fumC,class II fumarate hydratase,Energy production and conversion,Q89XM2,Op5778,
bll0287,BA000040.2,288239,288925,-,bll0287,AAV28_RS39920,DUF1275 domain-containing protein,Function unknown,Q89XM1,Op5779,
bll0288,BA000040.2,288944,289780,-,fdhD,fdhD,formate dehydrogenase accessory sulfurtransferase FdhD,Energy production and conversion,Q89XM0,Op5779,
bll0289,BA000040.2,289784,290383,-,bll0289,AAV28_RS39930,HdeD family acid-resistance protein,Function unknown,Q89XL9,Op5779,
bll0290,BA000040.2,290727,291236,-,bll0290,AAV28_RS39935,DNA starvation/stationary phase protection protein,Inorganic ion transport and metabolism,,Op5780,
bll0291,BA000040.2,291291,291854,-,bll0291,AAV28_RS39940,cytochrome b,Energy production and conversion,Q89XL7,Op5781,
bll0292,BA000040.2,291851,293128,-,bll0292,AAV28_RS39945,catalase family peroxidase,Inorganic ion transport and metabolism,,Op5781,
bll0295,BA000040.2,297611,300508,-,bll0295,AAV28_RS39960,winged helix-turn-helix domain-containing protein,Transcription,,Op5784,
bll0300,BA000040.2,307469,308740,-,ragD,AAV28_RS39990,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,H7C6E1,Op5790,
bll0301,BA000040.2,308737,311919,-,ragC,AAV28_RS39995,efflux RND transporter permease subunit,Defense mechanisms,Q89XK8,Op5790,
bll0302,BA000040.2,311999,312922,-,rpoH,rpoH,RNA polymerase sigma factor RpoH,Transcription,H7C6T6,Op3278,
bll0303,BA000040.2,312983,314407,-,ragB,AAV28_RS40005,HAMP domain-containing histidine kinase,Signal transduction mechanisms,H7C6U5,Op5791,
bll0304,BA000040.2,314417,315391,-,ragA,AAV28_RS40010,response regulator transcription factor,Signal transduction mechanisms,,Op5791,PhaR
bll0307,BA000040.2,316855,317811,-,bll0307,AAV28_RS40025,MurR/RpiR family transcriptional regulator,Transcription,Q89XK4,Op5795,
bll0313,BA000040.2,323507,324601,-,bll0313,AAV28_RS40055,ferritin family protein,Function unknown,,Op5798,
bll0322,BA000040.2,334204,335688,-,otsA,AAV28_RS40105,trehalose-6-phosphate synthase,Carbohydrate transport and metabolism,,Op5801,
bll0323,BA000040.2,335900,336721,-,otsB,otsB,trehalose-phosphatase,Carbohydrate transport and metabolism,Q89XJ1,Op5801,
bll0324,BA000040.2,336725,338278,-,bll0324,AAV28_RS40115,MFS transporter,Amino acid transport and metabolism,,Op5801,
bll0326,BA000040.2,338948,341053,-,bll0326,AAV28_RS40125,methyl-accepting chemotaxis protein,Cell motility,,Op5803,
bll0327,BA000040.2,341337,343619,-,bll0327,AAV28_RS40130,methyl-accepting chemotaxis protein,Cell motility,,Op5804,
bll0330,BA000040.2,346365,347063,-,bll0330,AAV28_RS40145,response regulator transcription factor,Signal transduction mechanisms,,Op5806,FixK2
bll0331,BA000040.2,347185,347868,-,bll0331,AAV28_RS40150,response regulator transcription factor,Signal transduction mechanisms,Q89XI3,Op5807,
bll0332,BA000040.2,348007,349314,-,bll0332,AAV28_RS40155,transporter substrate-binding domain-containing protein,Energy production and conversion,,Op5808,
bll0333,BA000040.2,349311,351059,-,bll0333,AAV28_RS40160,PQQ-dependent methanol/ethanol family dehydrogenase,Carbohydrate transport and metabolism,,Op5809,
bll0334,BA000040.2,351433,351918,-,bll0334,AAV28_RS40165,carbon monoxide dehydrogenase subunit G,Function unknown,,Op5810,
bll0339,BA000040.2,357890,359008,-,hppD,hppD,4-hydroxyphenylpyruvate dioxygenase,Amino acid transport and metabolism,Q89XH5,Op5814,
bll0342,BA000040.2,360089,361360,-,fahA,fahA,fumarylacetoacetase,"Secondary metabolites biosynthesis, transport, and catabolism",Q89XH2,Op5817,
bll0343,BA000040.2,361493,362869,-,hmgA,hmgA,homogentisate 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",Q89XH1,Op5817,
bll0344,BA000040.2,362842,363798,-,bll0344,AAV28_RS40215,MBL fold metallo-hydrolase,Function unknown,Q89XH0,Op5817,
bll0346,BA000040.2,364067,365695,-,bll0346,AAV28_RS40225,FAD-dependent oxidoreductase,Energy production and conversion,Q89XG8,Op5817,
bll0351,BA000040.2,368634,369503,-,bll0351,AAV28_RS40245,N-acyl homoserine lactonase family protein,Function unknown,,Op5821,
bll0357,BA000040.2,376445,377119,-,bll0357,AAV28_RS40270,Crp/Fnr family transcriptional regulator,Transcription,Q89XF7,Op5825,
bll0361,BA000040.2,383385,384707,-,bll0361,,,"Replication, recombination and repair",,-,PhyR
bll0362,BA000040.2,384793,385818,-,bll0362,AAV28_RS40295,LysM peptidoglycan-binding domain-containing protein,Cell motility,Q89XF2,Op5830,
bll0363,BA000040.2,385956,386738,-,bll0363,,,No COG annotation,,-,
bll0370,BA000040.2,395996,396844,-,bll0370,AAV28_RS40340,caspase family protein,Function unknown,Q89XE4,Op5841,
bll0374,BA000040.2,401383,402489,-,bll0374,AAV28_RS40360,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q89XE0,Op5845,
bll0375,BA000040.2,402489,403925,-,bll0375,AAV28_RS40365,MBOAT family protein,Cell wall/membrane/envelope biogenesis,Q89XD9,Op5845,
bll0377,BA000040.2,406415,407134,-,bll0377,AAV28_RS40375,ribonuclease activity regulator RraA,Coenzyme transport and metabolism,Q89XD7,Op5847,
bll0378,BA000040.2,407234,408973,-,araD,araD,L-arabinonate dehydratase,Amino acid transport and metabolism,Q89XD6,Op5848,
bll0379,BA000040.2,408970,409833,-,bll0379,AAV28_RS40385,ABC transporter permease,Inorganic ion transport and metabolism,Q89XD5,Op5848,
bll0380,BA000040.2,409846,410607,-,bll0380,AAV28_RS40390,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q89XD4,Op5848,
bll0381,BA000040.2,410607,411626,-,bll0381,AAV28_RS40395,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Q89XD3,Op5848,
bll0383,BA000040.2,412432,414603,-,mcpK,AAV28_RS40405,methyl-accepting chemotaxis protein,Cell motility,Q89XD1,Op5850,
bll0386,BA000040.2,419103,419738,-,bll0386,AAV28_RS40420,response regulator,Signal transduction mechanisms,Q89XC8,Op5853,
bll0387,BA000040.2,419908,420306,-,bll0387,,,No COG annotation,,-,
bll0388,BA000040.2,420263,420766,-,bll0388,AAV28_RS40430,response regulator,Signal transduction mechanisms,Q89XC6,Op5855,
bll0389,BA000040.2,420908,421225,-,bll0389,AAV28_RS40435,hypothetical protein,No COG annotation,Q89XC5,Op5856,
bll0390,BA000040.2,421228,422106,-,cheR1,AAV28_RS40440,protein-glutamate O-methyltransferase CheR,Cell motility,Q89XC4,Op5856,
bll0391,BA000040.2,422168,422539,-,bll0391,AAV28_RS40445,response regulator,Signal transduction mechanisms,,Op5857,
bll0392,BA000040.2,422586,423059,-,cheW,AAV28_RS40450,chemotaxis protein CheW,Cell motility,Q89XC2,Op5857,
bll0393,BA000040.2,423141,425990,-,bll0393,AAV28_RS40455,hybrid sensor histidine kinase/response regulator,Signal transduction mechanisms,Q89XC1,Op5858,
bll0394,BA000040.2,426400,426879,-,bll0394,AAV28_RS40460,response regulator,Transcription,,Op5859,
bll0399,BA000040.2,429861,430484,-,bll0399,AAV28_RS40485,LuxR family transcriptional regulator,Transcription,Q89XB5,Op5864,
bll0403,BA000040.2,434415,435275,-,bll0403,AAV28_RS40505,DMT family transporter,Amino acid transport and metabolism,Q89XB1,Op5869,blr0404
bll0405,BA000040.2,436901,437506,-,bll0405,AAV28_RS40515,GDYXXLXY domain-containing protein,Function unknown,Q89XA9,Op5871,
bll0406,BA000040.2,437503,438774,-,bll0406,AAV28_RS40520,DUF2157 domain-containing protein,Function unknown,Q89XA8,Op5871,
bll0408,BA000040.2,440354,441370,-,bll0408,AAV28_RS40530,tripartite tricarboxylate transporter substrate binding protein,Function unknown,,Op5873,
bll0409,BA000040.2,441414,443105,-,bll0409,AAV28_RS40535,FAD-dependent oxidoreductase,Energy production and conversion,,Op5874,
bll0411,BA000040.2,444087,444962,-,bll0411,AAV28_RS40545,ABC transporter permease,Inorganic ion transport and metabolism,Q89XA3,Op5876,
bll0412,BA000040.2,444959,445786,-,bll0412,AAV28_RS40550,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,Op5876,
